text,label
" I'm sorry , it was too cold , and my car couldn't start . I had one to the garage with the heater . I tried to call you , but you couldn't get connection . ",sadness
Meeting an old friend from high school.,joy
" Yes , that was probably it ! It isn't fair . ",anger
 I'll be at your house at about 5:30 . Happy birthday . ,joy
 Even if I was seriously ill you couldn't spare a moment . ,anger
 Well . I think I'm going to fail my chemistry exam . ,sadness
"Trance-like he drove down the Edgware Road , responding to the multitudinous traffic lights with mechanical movements , while the agitated Eleanor continued to lash his unreceptive ear with a never-ending stream of abuse . ",fear
 Just two . ,neutral
 Umm . I think my water just broke ! Get me to a hospital ! ,fear
"When I did not find the rack used for beating up rugs, in the yard.",anger
" Yes , a low fever . I feel terrible . Am I dying ? ",sadness
"En 2007, Bayrou a dû attendre janvier pour avoir un sondage le mettant au-dessus des 10 %. Pour 2012, il y est déjà. ",fear
 When crossing the road you must always pay attention to what's around you . ,neutral
 I won't do it again . Please forgive me . ,sadness
And then again perhaps Modigliani 's exasperation stemmed in part from envy of this brilliant young man . ,anger
I was very happy when I discovered that I had passed my first year examination and was among the thirty students who would major in economics.,joy
Sometime back I used to stay with my mum alone then time came when dad joined the family from his working place I found myself having fear for him for no cause at all.,fear
" I will . You know , as a newcomer , I think it might be a good opportunity to get to know people from the other departments of our company in a more relaxed atmosphere . ",neutral
Leaving the house myself and a female friend had shared for 6-8 months because of the friendship which developed and our approach to each other in occasional instances of several personal crises.,sadness
He could see no way out and in his anguish he began to think of doing himself in ; the method he would use would have to be quick and simple . ,sadness
"After having been ill, when I was coming back to the hostel, I felt very sad leaving home.",sadness
"After the coming of the man in the night , Miguel had grown glum and thoughtful . ",sadness
 Yes . ,neutral
I had met someone and we became good friends. Our relationship grew closer and now he is my boyfriend. I felt joy when I found out how he felt about me.,joy
" Fine , see you then . ",joy
When I was told that I had not been successful in getting the job I had been expecting.  I was sure that I was sufficiently qualified.,sadness
When I heard the examination results and when I recovered after having been sick for a week.,joy
 Exactly . ,neutral
I feel like I'm missing out on the things I should be doing at this age. I really hope not though. ,fear
That I would do bad in a class and not get into Bus school.,fear
He looked so crestfallen that Old Bulldog didn't know what to do for a minute . ,sadness
"Exhausted and nervous , councillors disappear into small cabals . ",fear
 Why ? ,neutral
Thanks . Sometimes talking with a friend is a great way to get over something . Do you mind if I vent a little bit ? ,anger
 I was never told to go to court . ,anger
"` I don't ask about your private affairs , now do I ? "" he said , in a mildly affronted tone . ",anger
 Absolutely . ,neutral
 I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side . ,neutral
 Yes . ,neutral
 Um ... no . ,neutral
When there was a bomb threat in Tolman Hall. This was the first time that I felt my life could be in danger.,fear
"This time , the Prince 's amusement was obvious . ",joy
 She made another white crack about my clothes . ,anger
 How come ? ,neutral
We fear losing that mercy; we fear losing His protection and his shade from harm.  and ,fear
 But that still sounds expensive . ,sadness
 It sure is . ,neutral
When I gave birth to a healthy boy.,joy
 I'm ready . ,neutral
So I was in a great state of elation . ,joy
 It isn ’ t . ,neutral
" That won't happen again , I'm sorry . ",sadness
I felt alone among a large number of people.  I was sad to see that nobody cared about what was happening to me.,sadness
" I am very happy , too . It was a big game and I won . ",joy
" Oh dear , we will miss our train . ",sadness
 Dark blue . ,neutral
" No , what ? ",neutral
 What's the problem ? ,neutral
 Ok . ,neutral
 I'm most grateful . Everyone in our class enjoyed it . ,anger
" You know , about David and his new boss . ",neutral
"Oh , my god ! My wallet is lost . What should I do ? It drives me bonkers . ",sadness
 I ’ m sorry . I think you are calling the wrong person . My name is not Mr . Bernie . ,sadness
 Next week . ,neutral
Whenever my father smokes the smell makes me feel very uncomfortable.  He never listens to my complaints and I curse him furiously in my mind.  I cannot solve this problem by violence because of traditional moral values.  ,anger
"When I received the letter informing that I had been accepted to be a Chinese university student, I was excited as I had longed for it.",joy
"My close friend and I applied to TISS for admission last year, unfortunately he failed to get admission.  We had done our graduation together and are quite involved with each other, so we had wanted to do our Masters degree together.  However, it did not work out as we had expected it to and this saddened me.",sadness
She shot him a horrified look . ,fear
 Why not ? ,anger
" I am sorry , sir , it's for 4 persons to have . I think it's too large for you . ",sadness
 It will do . ,neutral
 You are being watched ! Be careful Dan ! Be careful ! ,fear
Mr . Rogers ? ,neutral
Faith is the voice of God. Fear is the voice of satan. We can't listen to two voices. To do so makes us double-minded. @thebishop7  ,fear
 Spring is a lively season . ,joy
"I think im scared of what the future holds, I was wishing for some things, and now im used to those #drake",fear
When my father died.,sadness
I felt very sad when I heard that a friend had committed suicide.,sadness
 That's a great idea . Why don't you call him . I already talked to him a couple of times and it might be good for him to hear from somebody else . ,joy
" Which leg do you want to have , right leg or left one ? ",anger
"A quarrel with my mother because I thought she said very unreasonable things about me, that hit me strongly.",anger
I received a letter from a distant friend.,joy
When I made the acquaintance of a certain person.,joy
 I was told my girlfriend was speaking ill of me . It's a real letdown . ,sadness
When my dress was stolen.,anger
screw you kinda sad u made twitter.. now i cant beak you cause I'm afraid you'll read it. #fuck #pplonfacebookmaketwitter,anger
A shop-assistant behaved rather roughly with me though she hadn't the slightest grounds for it.,anger
Do you like flowers ? ,joy
"This occurred when my girlfriend and I have to finish our relationship due to some circumstances between her and her family. I was really sad, hurt and couldn't really find any reason why am I still living. Is this life is all about ? This was one of few question which crept up vividly every time I thought about what had happened.",sadness
At the same time they could become excited about house matches or school matches and take part in such events with earnest aggressiveness . ,joy
@mattmosley: This is the shakiest 14-point lead in history of college football.” lol ,fear
 How about tomorrow afternoon ? ,joy
 Extra lean . ,neutral
 Didn't I tell you ? It's over ! ,anger
"Matilda looked right back into the flashing eyes of this infuriated female giant and said with total calmness , ` I have not moved away from my desk , Miss Trunchbull , since the lesson began . ",anger
Fry said his farewells to the players who regarded him as a father figure before heading for home in Bedford a devastated man . ,sadness
"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue.  I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go.  The situation ended happily since there were no consequences.",fear
" Come home late one more time , and you'll find your stuff outside . ",anger
 Okay . ,neutral
 June loth . ,neutral
 I'll try . ,neutral
 Did you have the room checked before we move in ? ,neutral
How do you shoot pool ? ,neutral
"My son lives with my parents in the country and I feel this feeling always when leaving for Sofia, but the last time it was quite strong.",sadness
" Thanks for inviting me . Here is the gift for you . Happy birthday , Francis ! Many more happy and healthy years for you ! ",joy
I was very pleased and happy when my older sister came home from living somewhere out of town and I hadn't seen her for months. We are very close sisters.,joy
Walking out from the biology building.,fear
" I'm so happy . Even though we are both working , we get to spend a lot of time with each other in the evening and on the weekends . ",joy
 I hate dentists . ,fear
"I feel unbelievably happy about the relationship between my boyfriend and me, it is a reoccurring feeling.",joy
I lost a close friend.,sadness
In a flat in Sydney - rough area at home on my own - the flat had been burgled the night before and no way of locking the door.,fear
` I am delighted that you are so cheerful and optimistic . ,joy
"--- The descendants of Sir Isaac Newton are miffed that former prime minister Maragaret Thatcher has included the 17th century discoverer of gravity on her personal coat of arms , to represent learning .",anger
 Guess ! ,neutral
Won a prize for effort.,joy
 What ? ,neutral
My elder sister scolded me in front of my younger sisters and cousins.  She said that I was very lazy and I felt so sad that I cried myself to sleep.,sadness
My best frieend left school recently.  The next day the weather turned bad suddenly and the male class-mates turned off the lights.  I remained on the table and was scared.,fear
I bought an aquarium which made me much pleasure. I was watching the fish when my father came in and asked me how much I had payed for it. He said he would not pay for the current that it would require.,anger
When my parents separated temporarily and I was left behind with my father.  As I loved my mother I wanted to go with her.,sadness
Friends who torture animals.,anger
When my grandmother died.,sadness
"But behind the strained , happy smiles there will lie the awful knowledge that Alex saw the killer -- and was too young to understand what was going on . ",joy
"Don't believe the lies, look me in my eyes, please don't be scared of me ",fear
Death of a parent.,sadness
" the thing is , this isn't the first time he's promised to do something and then didn't . ",anger
 He told me that his friend's car broke down and they had to walk home . ,sadness
Doesn't apply.,fear
 Uh huh ... ,neutral
" But where have you been , Alice ? You're over an hour late . ",anger
 Haven't I asked you to call if you're going to be home late ? ,anger
 I suppose she's right . Does she speak English very slowly ? ,neutral
When one of my cat died of a disease.,sadness
He became even more lugubrious . ,sadness
It is not uncommon to hear of old women who are cross when asked to perform domestic tasks in residential care ! ,anger
 Sure . ,neutral
 Good . I know that you are capable of being an excellent student . ,joy
Not afraid of tomorrow for I saw yesterday and I love today #less,fear
"` You do these ? "" he asked an indignant Auguste . ",anger
 I ’ Ve just parted with my boyfriend . ,sadness
"When I was misleaded by a person who assured that something would not occur, that I had no reason to prepccupy myself, and suddenly I saw myself implicated by the fact, because of the incompetence, and irresponsibility of that person.",anger
"Loads of my friends are miserable over the way they look , and the media are basically saying , ` Yes , you 're right to be miserable . ",sadness
"But one day when the lord was off hunting the fox said : "" Friends , we are all happy and contented , but our master sometimes seems rather sad and downcast . ",sadness
A friend died of cancer when he was 18 years old.,sadness
 Sure . ,neutral
" Dude , don ’ t equivocate . A theory only becomes a theory after withstanding rigorous testing . You slept through class , didn ’ t you ? ",neutral
 I got robbed ! ,sadness
Dotty flushed with annoyance . ,anger
 yes . It seems she can never accept a childless marriage . We had a fight last night . ,sadness
Remember that hypnosis is not a party game to be practised by amateurs for the amusement of themselves or others . ,joy
"` You will not regret it , "" the cardinal told her , observing the prince 's elation and guessing its cause . ",joy
Everyone will be sad at their departure . ,sadness
 I see . It's safer then right ? ,neutral
 Yes . ,neutral
The birth of my daughter.,joy
" Let me see ... Sorry , sir . We are fully booked tonight . Would you mind making a reservation some other time ? ",sadness
" Oh , hi ! ",neutral
 Of course . ,neutral
"@samobyrne Haha, ye found it, was in Krystle... When I first read that I thought I was drunkenly looking for something else  ",fear
` Then why are you looking so glum ? ,sadness
" Oh , that's too bad ! I am sorry to hear that ! ",sadness
" Do you think so ? Well , I guess . He does look a lot like me . Oh , he ’ s got Richard ’ s eyes though . ",joy
 Who won ? ,neutral
At church camp when I accepted Christ into my life and so did my friend.,joy
"I had not told my parents about my bad marks in school. One day, my father wanted to speak to the teachers. Fortunately I could influence my parents to take it easy.",fear
Excuse me . Is this seat taken ? ,neutral
 What a pity ! I know you've been longing for it these months . ,sadness
 Sign me up for Monday and Wednesday . ,neutral
 How could I feel easy ? I ’ m really pissed . ,anger
 Who is he ? ,neutral
We shall find reason for disquiet about this argument . ,fear
 Why can't I call the police now ? He was definitely following me ! ,fear
"But his father was overjoyed to see him , and at once threw a party . ",joy
Hear a very nice joke made by a friend.,joy
 No problem . ,neutral
 Run ! They are thirsty for more ! ,neutral
"A friend of mine lent me his apartment for holidays and besides this he was a fine person. Months later I knew that he died tragically in a moto accident. He was very young, and I felt sad and couldn't believe it (until today).",sadness
"He sat looking at the fire with lowered eyelids , a contented expression on his face , looking like a big overfed cat . ",joy
Close relative is dying of cancer - found out last week.,sadness
"not afraid of tomorrow, for I have seen yesterday and I love today #less",fear
Successive state elections have seen the governing parties pummelled by a dismayed electorate . ,fear
 Okay . ,neutral
My best friend at school told lies about me to a boy I was seeing and went out with him herself.,anger
" Extremely good . I shot a 78 , including 5 birdies ! ",joy
@mamzelle_liliz oui mais le proctologue porte à confusion chez un certain public...  :p,fear
"I had worked very hard during my vacations to raise some money for a few major items (e.g a radio).  but when I arrived at the inter-city bus terminal, my hard earned money had been stolen from me.",anger
"Under danger , in the dark , one feels a kind of particular horror at finding oneself alone . ",fear
 Which one ? ,neutral
` I am obviously very pleased about winning but it was also great that my parents were here . ,joy
" I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ... ",neutral
 I came back to my room and found my suitcase was open and my camera and five hundred dollars in cash inside the wallet were gone . ,sadness
When I passed the 12th standard board exams.,joy
He says that he was so mad that he got a knife to scare them . ,anger
When my car suddenly broke down !,anger
 Not so well . I've come down with the flu . ,sadness
"A few years ago my mother suffered from canccer and died within two years.  We had not finished our studies then and could not bear our responsibilities as her children.  My mother had tried her best to take care of us but she lived in pain these two years.  Neither the doctor nor we could do anything for her as cancer is incurable.  I was very eager to replace her in suffernig , even die instead of her.",sadness
 O-K ... ,neutral
"C'mon people, his last match in the US and you didn't think Dick Togo would be   ",fear
When I first saw a person begging.,anger
Going to a concert.,joy
" I've never been to such a dirty restaurant , and never seen such slow service . ",anger
"Do you like traveling , Kathy ? ",neutral
"He was a contented man for he had a good wife , a prosperous farm in Upper Caversham some four miles from Reading market , had had a good season and a financially successful day . ",joy
"We act cool , like we 're not delighted to meet up again , then we sit round the kitchen table and talk . ",joy
The insurance cover is designed to protect intermediaries against suits for damages brought by irate customers . ,anger
"I was very angry when my friend lost my practical's journal, which I needed to study for the exams.",anger
Someone messing up the room we share.,anger
"I was on holidays, and I was going to meet a friend whom I had not seen for six months.  Again I felt very happy.",joy
"Darling , can't you stay for a few more days ? ",sadness
I was in form five at the boarding school and my friends and I had gone drinknig beer in the nearby village.  And we were caught red handed there by a form master.,fear
"A close relative of mine underwent a difficult operation, and everything turned out fine.",joy
Please forgive me for rushing into your room forgetting to knock at the door . ,sadness
Adam: I was afraid -Gen. 3:10 ~ Abram: Do not be afraid -Gen. 15:1 ~ Sarah: she was afraid-Gen. 18:15 ~ Jacob:I was afraid -Gen. 31:31 ,fear
Some members of the UN Security Council will be miffed .,anger
 Sure.Where would you suggest ? ,joy
Having received an offer to do post-graduate work.,joy
 I can ’ t believe this ! Why are all these things happening to me ! I can ’ t take it anymore ! Let me out of the car ! ,anger
The sight of a man who ran amok (fighting) at a dance.,anger
I put in two years of hard work and it was neither looked at nor appreciated.,sadness
 What for ? ,neutral
" My pleasure Miss . Actually , could you recommend what to eat here ? I've never been here before . ",joy
Last year I passed the B.A exams in Psychology in which I stood first in my class.  Thus I got the first prize from the college.  I was most happy to tell all this to my parents and friends.,joy
 Fine . ,neutral
I was scared in the dark when I was a little boy.,fear
" Yeah , China's developing so fast and development opportunities can be found almost in every corner of the country . ",neutral
My friend started to misunderstand and hurt me. ,fear
 But she means a lot to me . ,sadness
A close friend of the family died.,sadness
Death of grandfather (unexpected).,sadness
" I'm sorry , but this was on sale , so I can only give you store credit . ",sadness
 Thank you . ,neutral
On the T.V I saw a news feature on South Africa.  A policeman      attacked a group of black people with a whip.,anger
 Great . I got to try so many things for the first time . ,joy
Stephen Spielberg says anxious parents should view it first . ,fear
When we rearranged furniture in our flat and got stuck in a chair.,anger
"The day the results of the university entrance exam was published, I found my canditate number and I was very excited.",joy
When I got a wedding ring of diamond from the boy I loved.,joy
I was with my family and we found some abandoned puppies.  I wanted to help them but everyone said no.  We then left.,anger
"A small , happy man with a white beard , he always wore the traditional grocers ' apron . ",joy
" Oh , I hate having teeth pulled out . Will it hurt ? ",fear
" Yeah , I went over the figures this morning . We're finally started making money again ! ",joy
"Looking anything but delighted at the prospect , he stood up . ",joy
"But the STUC also voiced disquiet about the way last Monday 's picketing was handled by police , and said it had secured a pledge that policing would now be ` even-handed "" . ",fear
" Oh , really ? Just a moment ... You paid with a ten-dollar note and I gave you ... Oh , sorry , here's a five left . I'm terribly sorry . ",sadness
"When I was told by the doctor, after many months of coughing, that I had tuberculosis.",fear
" School . Since I was working part time , I had a difficult time keeping up with class . Now that we have exams coming up , I'm totally freaking out . ",fear
When my little sister was sick at home and I thought that she would die.,fear
He collapsed in a coma at a London club and died hours later in hospital from massive internal bleeding  in front of his devastated mum and dad . ,sadness
" White , please ",neutral
 We should plan to move out of here before July . I'm tired of living in apartments . ,sadness
 What ? ,neutral
How may I help you ? ,neutral
"I wanted something in particular and did not get it, also there was no possibility of getting it.",sadness
 They did . ,neutral
" So sorry , I must have confused the orders . I'll check it . ",sadness
Stranded in the north of Fraser Island with a submerged 4 WD hire vehicle.,fear
"Bob Halton , not guilty enough , but confused by his mother 's spoiling and manipulative efforts to keep him for herself , is petrified of being taken over completely . ",fear
 What's up ? ,neutral
I have two finals this week and one oral presentation and I'm not ready for any of them ! ,fear
Getting a part-time job.,joy
 Let me ask the old woman in that reception office . ,neutral
I had always assumed that this sort of civilized dismay at barbarism was the monopoly of our cause . ,fear
Going to see a good film with my best friend.,joy
 exactly . ,neutral
"Attitude to some manners of dealing and some \sanctioned\"" relations.""",anger
The anger in her voice took him aback . ,anger
 Even the roller coasters that go through tunnels in the dark ? ,joy
 I got it . ,neutral
Someone stole my ski at Vitosha and of course I was the one to be blamed. I left them without supervision.,anger
"When I got to know that the friend I am closest to got engaged, and she was going away.  I was overjoyed for her, but also felt frightened as I was very emotionally dependent on her.  I did not know what I would do without her.",fear
I like someone who does not like me and was rude to me.,sadness
 Sound like everything is great . ,joy
"A good friend deceived me. Because of that little quarrel our relationship finished, mainly because she was not honest. I was very angry about that.",anger
" That ’ s a good idea . You should do the same with some music . You might find something you like . Classical music might make you clever , but dance might make you livelier and happier . ",joy
"You must have been heartbroken . "" ",sadness
 Of course it does . Everybody has his own hobby . ,joy
" That ’ s why it was so weird traveling from Beijing to LA ! Because of the huge time difference , even though we left Beijing at noon and flew for more than eight hours , we still arrived in LA the same day at noon ! It ’ s like we went back in time ! ",anger
Nor was the thought that he alone might hold the key to the mystery the sole component in his strangely elated state . ,joy
"my humble prediction 1252-1260 all day...  hope I'm wrong either way, trade the range!",fear
When I heard that my nephew had passed away.,sadness
English papers are due on Friday. They are returned on Tuesday. This Tuesday I was afraid to go to class and get my paper because I knew it was bad.,fear
Getting into this university to do medicine.,joy
 All right . ,neutral
"Liza , for her part , had still seemed inconsolable when she first arrived back at her unit on the edge of Salisbury Plain . ",sadness
" John , I am just not in the mood for this . ",sadness
"On my birthday, an old friend of mine sent me a card. I had not met him for a year and I was very glad that he had thought of me.",joy
"A honest \sliding\"" on the part of a girlfriend of mine. Terribly crossed I started breaking things and tearing books.""",anger
Lost my girl-friend.,sadness
I'll get my result of high school. ,fear
I really became sad when mother passed away while I was very young.,sadness
Realizing that a friend had been talked into signing a certain contract.,anger
When I got the scholarship I was very happy as the finacial burden of the family was reduced.,joy
 Many ! ,neutral
Now she was mad with grief . ,sadness
"When I was a child, I was always afraid of my father. Just when he looked at me, I felt frightened.",fear
When my first niece was born.,joy
"I was working at a certain place and everyday after work dad would come to pick me up.  One day he did not come, it started getting very dark and I had no money on me and my home was very, very far away.",fear
"Listen , Christine , you can not afford another day off . You ’ Ve called in sick five times in the last three weeks . ",anger
After I saw my family and good friends back after staying one year in a foreign country. ,joy
Feeling unable to preserve one's ideas and ambitions as innocent as they are when you are young.,sadness
 Thank you for the dance . ,joy
When I am made to do things in which I see no sense and I waste my time. Some time ago I had to participate in a sociological investigation and then I got really angry.,anger
Les meilleurs Rick Roll restent à venir ! ,fear
When I got the first compound through column.,joy
" If so , I'd better try another store . ",sadness
"@goldenblades91 @BerticusMaximus it is exciting. except, yerno, I haven't finished my essay or my translation. ",fear
She felt guilty when she sensed Beth 's deep sadness . ,sadness
` After each Test there was never any great sense of elation but rather that a step towards the ultimate goal was taken . ,joy
When my daughter had problems with her friends and I could see her predicament from the window.  She was given a the cold shoulder.,sadness
 So he had the boxes wrapped in plastic . ,neutral
"It 'll be very loud and you might get frightened . "" ",fear
